Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,FarePerPerson,IsAlone,AgeGroup
0,3,1,-0.6405561572150034,1,0,-0.48538929185170254,S,2,-0.24269464592585127,0,1
1,1,0,0.9325305916664932,1,0,0.7971712191028749,C,2,0.39858560955143746,0,0
1,3,0,-0.24728446999462925,0,0,-0.47186932107252455,S,1,-0.47186932107252455,1,1
1,1,0,0.6375768262512126,1,0,0.43296724181542656,S,2,0.21648362090771328,0,0
0,3,1,0.6375768262512126,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,0
0,3,1,-0.05064862638444217,0,0,-0.4611875426776569,Q,1,-0.4611875426776569,1,1
0,1,1,2.50561734054799,0,0,0.4081806287202668,S,1,0.4081806287202668,1,0
1,3,0,-0.1489665481895357,0,2,-0.407608399219433,S,3,-0.13586946640647765,0,1
1,2,0,-1.4270995316557518,1,0,-0.028298107914716333,C,2,-0.014149053957358167,0,1
1,3,0,-2.410278749706687,1,1,-0.2961097009432103,S,3,-0.09870323364773677,0,1
0,3,1,-0.8371920008251904,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,3,1,1.0308485134715868,1,5,-0.004178480044662747,S,7,-0.0005969257206661066,0,0
0,3,0,-1.4270995316557518,0,0,-0.4732874157853628,S,1,-0.4732874157853628,1,1
1,2,1,-0.05064862638444217,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,1
0,3,0,0.24430513903083845,1,0,-0.2700712387018304,S,2,-0.1350356193509152,0,0
1,3,0,-0.05064862638444217,0,0,-0.4858900315101906,C,1,-0.4858900315101906,1,1
0,2,1,0.6375768262512126,0,0,-0.10983454798564649,S,1,-0.10983454798564649,1,0
1,2,1,0.539258904446119,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,0
1,3,0,-1.3287816098506582,0,0,-0.4697822381759463,Q,1,-0.4697822381759463,1,1
1,1,1,-0.05064862638444217,0,0,0.08044652223982192,S,1,0.08044652223982192,1,1
0,3,0,-2.017007062486313,3,1,-0.20848026070779724,S,5,-0.04169605214155945,0,1
1,3,0,0.9325305916664932,1,5,-0.0019251515814663958,S,7,-0.0002750216544951994,0,0
0,3,1,-0.05064862638444217,0,0,-0.4858900315101906,C,1,-0.4858900315101906,1,1
0,1,1,-0.935509922630284,3,2,4.637177414481302,S,6,0.7728629024135504,0,1
1,3,0,-0.05064862638444217,0,0,-0.4727866761268747,Q,1,-0.4727866761268747,1,1
